ts_code,buy_date,buy_price,sell_date,sell_price,shares,return_pct,pnl
002967,20240507,15.25,20240508,14.9,22700,-2.3,-7945.0
605123,20240507,66.72,20240508,64.16,5200,-3.84,-13312.0
000691,20240508,4.07,20240509,3.94,82900,-3.19,-10777.0
603657,20240508,16.21,20240509,15.45,20800,-4.69,-15808.0
002835,20240508,19.07,20240509,18.68,17700,-2.05,-6903.0
002526,20240509,3.15,20240510,3.16,103500,0.32,1035.0
603018,20240509,9.79,20240510,9.75,33300,-0.41,-1332.0
601975,20240509,3.93,20240510,3.92,83100,-0.25,-831.0
002927,20240510,13.77,20240513,15.15,23600,10.02,32568.0
000610,20240510,13.71,20240513,12.99,23800,-5.25,-17136.0
600593,20240510,21.33,20240513,20.4,15300,-4.36,-14229.0
002264,20240513,6.08,20240514,6.32,53600,3.95,12864.0
601869,20240513,27.13,20240514,26.46,12000,-2.47,-8040.0
002045,20240513,13.27,20240514,13.14,24600,-0.98,-3198.0
002425,20240514,3.06,20240515,3.37,106800,10.13,33108.0
603389,20240514,4.7,20240515,5.17,69500,10.0,32665.0
600355,20240514,3.5,20240515,3.85,93400,10.0,32690.0
002676,20240515,4.59,20240516,4.6,78300,0.22,783.0
600818,20240515,21.68,20240516,21.33,16500,-1.61,-5775.0
600421,20240515,6.17,20240516,6.07,58600,-1.62,-5860.0
603950,20240516,15.35,20240517,16.88,23100,9.97,35343.0
603378,20240516,6.37,20240517,6.82,56000,7.06,25200.0
000670,20240516,5.42,20240517,5.3,65800,-2.21,-7896.0
000949,20240517,4.68,20240520,4.21,79800,-10.04,-37506.0
600207,20240517,4.71,20240520,5.18,79300,9.98,37271.0
002383,20240517,6.69,20240520,6.72,55800,0.45,1674.0
002207,20240520,5.7,20240521,5.46,65600,-4.21,-15744.0
603619,20240520,24.95,20240521,24.2,14900,-3.01,-11175.0
601069,20240520,14.46,20240521,13.73,26000,-5.05,-18980.0
002196,20240521,5.28,20240522,5.13,67900,-2.84,-10185.0
603533,20240521,21.86,20240522,21.74,16400,-0.55,-1968.0
002808,20240521,2.16,20240522,2.27,166300,5.09,18293.0
600774,20240522,8.42,20240523,8.59,42800,2.02,7276.0
603778,20240522,3.72,20240523,3.78,97000,1.61,5820.0
001269,20240522,37.44,20240523,36.0,9600,-3.85,-13824.0
600894,20240523,11.13,20240524,11.24,32300,0.99,3553.0
002535,20240523,3.53,20240524,3.33,102200,-5.67,-20440.0
600234,20240523,2.39,20240524,2.51,151200,5.02,18144.0
000958,20240524,4.4,20240527,4.14,82000,-5.91,-21320.0
000722,20240524,11.4,20240527,11.5,31600,0.88,3160.0
000875,20240524,5.37,20240527,5.81,67300,8.19,29612.0
600895,20240527,18.57,20240528,19.29,19600,3.88,14112.0
603613,20240527,23.42,20240528,22.84,15500,-2.48,-8990.0
600630,20240527,9.8,20240528,9.62,37400,-1.84,-6732.0
001376,20240528,22.68,20240529,22.46,16000,-0.97,-3520.0
002382,20240528,5.63,20240529,5.4,64800,-4.09,-14904.0
600531,20240528,7.2,20240529,7.37,50700,2.36,8619.0
002378,20240529,7.17,20240530,6.74,50300,-6.0,-21629.0
603778,20240529,3.82,20240530,3.72,94500,-2.62,-9450.0
600774,20240529,8.36,20240530,8.49,43200,1.56,5616.0
002323,20240530,1.12,20240531,1.23,314700,9.82,34617.0
603260,20240530,55.47,20240531,51.59,6300,-6.99,-24444.0
000422,20240530,12.55,20240531,12.03,28300,-4.14,-14716.0
002713,20240531,3.17,20240603,2.97,110700,-6.31,-22140.0
002055,20240531,6.8,20240603,7.48,51600,10.0,35088.0
002356,20240531,3.31,20240603,3.31,106000,0.0,0.0
600661,20240603,11.97,20240604,10.89,29600,-9.02,-31968.0
